Ib_mA,Vce_V,Ic_A,,,,,,,,,,,,,,,,,X--Trace 6::[iib=0.015; I(Q1[IC])],Y--Trace 6::[iib=0.015; I(Q1[IC])]
3,8.3,0.395075,,,,,,,,,,,,,,,,,,
3,8.4,0.395439,,,,,,,,,,,,,,,,,,
3,8.5,0.395803,,,,,,,,,,,,,,,,,,
3,8.6,0.396167,,,,,,,,,,,,,,,,,,
3,8.7,0.396531,,,,,,,,,,,,,,,,,,
3,8.8,0.396895,,,,,,,,,,,,,,,,,,
3,8.9,0.397259,,,,,,,,,,,,,,,,,,
3,9,0.397623,,,,,,,,,,,,,,,,,,
3,9.1,0.397987,,,,,,,,,,,,,,,,,,
3,9.2,0.398351,,,,,,,,,,,,,,,,,,
3,9.3,0.398715,,,,,,,,,,,,,,,,,,
3,9.4,0.399079,,,,,,,,,,,,,,,,,,
3,9.5,0.399442,,,,,,,,,,,,,,,,,,
3,9.6,0.399806,,,,,,,,,,,,,,,,,,
3,9.7,0.40017,,,,,,,,,,,,,,,,,,
3,9.8,0.400534,,,,,,,,,,,,,,,,,,
3,9.9,0.400898,,,,,,,,,,,,,,,,,,
3,10,0.401262,,,,,,,,,,,,,,,,,,
